id,candidate_length,in_candidates,response,answer
0,10,True,David Beckham,David Beckham
1,10,False,nic,Victoria Beckham
2,10,False,nic,
3,10,False,nic,
4,10,False,nic,
5,7,False,nic,
6,10,True,David Beckham,David Beckham
7,10,False,nic,Victoria Beckham
8,10,True,Tiger Woods,Tiger Woods
9,10,True,Elin Nordegren,Elin Nordegren
10,10,True,Tiger Woods,Tiger Woods
11,10,True,U.S. Open (golf),U.S. Open (golf)
12,10,True,Madonna (entertainer),Madonna (entertainer)
13,10,False,nic,Eva PerÃ³n
14,10,False,nic,Carlos Leon
15,10,True,Madonna (entertainer),Madonna (entertainer)
16,10,False,nic,First Ladies and Gentlemen of Argentina
17,10,True,Angelina Jolie,Angelina Jolie
18,10,False,nic,Jon Voight
19,10,True,Brad Pitt,Brad Pitt
20,10,True,Heidi Klum,Heidi Klum
21,10,True,Seal (musician),Seal (musician)
22,10,True,Las Vegas,Las Vegas
23,10,True,Paris Hilton,Paris Hilton
24,10,True,Kim Kardashian,Kim Kardashian
25,10,True,Justin Timberlake,Justin Bieber
26,10,True,Gwen Stefani,Lady Gaga
27,10,False,nic,Katy Perry
28,10,True,MTV,MTV
29,10,True,Internet,Twitter
30,10,True,Bob Dylan,Bob Dylan
31,10,True,Hurricane (Bob Dylan song),Hurricane (Bob Dylan song)
32,10,False,nic,Rubin Carter
33,10,False,nic,Desire (Bob Dylan album)
34,10,False,nic,Desire (Bob Dylan album)
35,10,False,nic,Emmylou Harris
36,10,True,Joey (Concrete Blonde song),Joey (Bob Dylan song)
37,10,True,Eric Clapton,Eric Clapton
38,10,True,Jeff Beck,Jeff Beck
39,10,True,Jimmy Page,Jimmy Page
40,10,False,nic,Paul Allen
41,10,True,EMP Museum,EMP Museum
42,10,True,Seattle,Seattle
43,10,True,Jimi Hendrix,Jimi Hendrix
44,10,True,Bob Dylan,Bob Dylan
45,10,True,Frank Sinatra,Frank Sinatra
46,10,True,Bob Dylan,Bob Dylan
47,10,False,nic,Billy Joel
48,10,True,Carlos Santana,Carlos Santana
49,10,True,Columbia Records,Columbia Records
50,10,True,Sony,Sony Music Entertainment
51,10,True,Johnny Cash,Johnny Cash
52,3,True,American Recordings (album),American Recordings (album)
53,10,False,nic,Rick Rubin
54,3,True,Josh Homme,Josh Homme
55,1,True,Dave Grohl,Dave Grohl
56,10,True,John Paul Jones (musician),John Paul Jones (musician)
