id,candidate_length,in_candidates,response,answer
0,10,True,Liga Leumit,Liga Leumit
1,1,True,Israel Football Association,Israel Football Association
2,1,True,Sektzia Nes Tziona F.C.,Sektzia Nes Tziona F.C.
3,1,True,Hapoel Mahane Yehuda F.C.,Hapoel Mahane Yehuda F.C.
4,10,True,Liga Alef,Liga Alef
5,1,True,Hapoel Kfar Saba F.C.,Hapoel Kfar Saba F.C.
6,1,True,Beitar Jerusalem F.C.,Beitar Jerusalem F.C.
7,4,True,Maccabi Tel Aviv F.C.,Maccabi Tel Aviv F.C.
8,1,True,Maccabi Netanya F.C.,Maccabi Netanya F.C.
9,1,True,Mordechai Spiegler,Mordechai Spiegler
10,2,True,Knesset,Knesset
11,10,True,Maccabi Tel Aviv F.C.,Maccabi World Union
12,10,True,Maccabi Haifa F.C.,Maccabi Haifa F.C.
13,1,True,Maccabi Jaffa F.C.,Maccabi Jaffa F.C.
14,5,True,Maccabi Netanya F.C.,Maccabi Netanya F.C.
15,2,True,Maccabi Sha'arayim F.C.,Maccabi Sha'arayim F.C.
16,10,False,nic,Maccabi Tel Aviv F.C.
17,7,True,Hapoel Tel Aviv,Hapoel
18,6,True,Hapoel Be'er Sheva F.C.,Hapoel Be'er Sheva F.C.
19,10,False,nic,Hapoel Haifa F.C.
20,10,False,nic,Hapoel Jerusalem F.C.
21,2,True,Hapoel Mahane Yehuda F.C.,Hapoel Mahane Yehuda F.C.
22,4,True,Maccabi Petah Tikva F.C.,Hapoel Petah Tikva F.C.
23,10,True,Hapoel Tel Aviv F.C.,Hapoel Tel Aviv F.C.
24,7,True,1994 Winter Olympics opening ceremony,Opening ceremony
25,1,True,Lysgårdsbakken,Lysgårdsbakken
26,10,True,Lillehammer,Lillehammer
27,10,True,Norway,Norway
28,10,True,Sami people,Sami people
29,2,True,Sami music,Joik
30,2,True,Telemark skiing,Telemark skiing
31,1,True,notInKB,notInKB
31,1,True,Vættir,Vættir
32,10,True,Norse mythology,Norse mythology
33,1,True,Juan Antonio Samaranch,Juan Antonio Samaranch
34,1,True,Harald V of Norway,Harald V of Norway
35,1,True,Ole Gunnar Fidjestøl,Ole Gunnar Fidjestøl
36,1,True,Vegard Ulvang,Vegard Ulvang
37,1,True,Kari Kåring,Kari Kåring
38,5,True,Edvard Munch,Edvard Munch
39,5,True,Edvard Munch,The Scream
40,1,True,notInKB,notInKB
40,1,True,Edward Jones Dome,Edward Jones Dome
41,6,True,Big 12 Conference,Big 12 Conference
42,10,False,nic,1996 Texas Longhorns football team
43,10,True,1996 Nebraska Cornhuskers football team,1996 Nebraska Cornhuskers football team
44,6,True,Big 12 Conference,Big 12 Conference
45,10,False,nic,1996 NCAA Division I-A football season
46,5,True,Big Eight Conference,Big Eight Conference
47,2,True,Southwest Conference,Southwest Conference
48,10,True,Southeastern Conference,Southeastern Conference
49,1,True,SEC Championship Game,SEC Championship Game
50,10,False,nic,ACC Championship Game
51,10,False,nic,Big Ten Football Championship Game
52,4,True,Conference USA,Conference USA Football Championship Game
53,10,False,notInKB,notInKB
53,10,False,nic,MAC Championship Game
54,6,True,notInKB,notInKB
54,6,True,Pacific-12 Football Championship Game,Pacific-12 Football Championship Game
55,10,False,notInKB,notInKB
55,10,False,nic,2010 NCAA Division I FBS football season
56,10,True,Colorado,Colorado Buffaloes football
57,10,True,Nebraska Cornhuskers,Nebraska Cornhuskers football
58,10,False,nic,2010 Big 12 Championship Game
59,10,False,notInKB,notInKB
59,10,False,nic,2011 NCAA Division I FBS football season
60,4,True,notInKB,notInKB
60,4,True,Union Européenne de Motocyclisme,Union Européenne de Motocyclisme
61,1,True,European Pairs Speedway Championship,European Pairs Speedway Championship
62,10,False,nic,2009 in sports
63,4,True,Miskolc,Miskolc
64,10,True,Hungary,Hungary
65,1,True,Czech Republic national speedway team,Czech Republic national speedway team
66,10,False,nic,Russia national speedway team
67,10,True,Poland national speedway team,Poland national speedway team
68,10,True,Poland national speedway team,Poland national speedway team
69,10,False,nic,Czech Republic national speedway team
70,10,False,nic,Russia national speedway team
71,10,False,nic,Hungary national speedway team
72,10,False,notInKB,notInKB
72,10,False,nic,Latvia national speedway team
73,10,True,City Municipality of Ljubljana,Ljubljana
74,10,True,Slovenia,Slovenia
75,10,False,nic,Austria national speedway team
76,10,False,nic,Germany national speedway team
77,10,False,nic,Ukraine national speedway team
78,10,False,nic,Finland national speedway team
79,10,False,nic,Slovenia national speedway team
80,10,False,nic,Italy national speedway team
81,10,False,nic,Croatia national speedway team
82,2,True,Superfinalen,Superfinalen
83,10,True,Association football,Association football
84,10,True,2009 Tippeligaen,Tippeligaen
85,10,True,2008 Norwegian Football Cup,Norwegian Football Cup
86,2,True,Telenor Arena,Telenor Arena
87,2,True,Bærum,Bærum
88,4,True,Stabæk Fotball,Stabæk Fotball
89,6,True,Vålerenga,Vålerenga Fotball
90,1,True,2008 Norwegian Football Cup,2008 Norwegian Football Cup
91,1,True,Football Association of Norway,Football Association of Norway
92,1,True,Norsk Toppfotball,Norsk Toppfotball
93,5,True,TV 2 (Norway),TV 2 (Norway)
94,6,True,FA Community Shield,FA Community Shield
95,10,True,UNICEF,UNICEF
96,1,True,2008 Norwegian Football Cup Final,2008 Norwegian Football Cup Final
97,1,True,Daniel Nannskog,Daniel Nannskog
98,1,True,Daigo Kobayashi,Daigo Kobayashi
99,1,True,Pálmi Rafn Pálmason,Pálmi Rafn Pálmason
100,1,True,Mohammed Abdellaoue,Mohammed Abdellaoue
101,2,True,Telenor Arena,Telenor Arena
102,4,True,notInKB,notInKB
102,4,True,Union Européenne de Motocyclisme,Union Européenne de Motocyclisme
103,1,True,Team Speedway Junior European Championship,Team Speedway Junior European Championship
104,10,False,nic,2009 in sports
105,1,True,Holsted,Holsted
106,10,True,Denmark national speedway team,Denmark
107,10,False,nic,Poland national under-19 speedway team
108,10,False,nic,Sweden national under-19 speedway team
109,10,False,nic,Denmark national under-19 speedway team
110,10,False,nic,Czech Republic national under-19 speedway team
111,10,False,nic,Sweden national under-19 speedway team
112,10,False,nic,Denmark national under-19 speedway team
113,10,False,nic,Poland national under-19 speedway team
114,3,True,"Bockhorn, Lower Saxony","Bockhorn, Lower Saxony"
115,10,True,Germany,Germany
116,10,False,nic,Czech Republic national under-19 speedway team
117,10,False,nic,Russia national under-19 speedway team
118,10,False,nic,Germany national under-19 speedway team
119,10,False,nic,Russia national under-19 speedway team
120,10,False,nic,Finland national under-19 speedway team
121,5,True,Marshall Thundering Herd football,Marshall University
122,6,True,Marshall Thundering Herd football,Marshall Thundering Herd
123,10,True,National Collegiate Athletic Association,College football
124,10,True,College football,American football
125,10,True,Conference USA,Conference USA
126,1,True,National Collegiate Athletic Association,National Collegiate Athletic Association
127,10,False,nic,2009 Marshall Thundering Herd football team
128,1,True,Mark Snyder,Mark Snyder
129,10,False,nic,2009 Little Caesars Pizza Bowl
130,5,True,2009 Little Caesars Pizza Bowl,Little Caesars Pizza Bowl
131,5,True,Ohio University,Ohio University
132,10,False,nic,Ohio Bobcats football
133,1,True,notInKB,notInKB
133,1,True,2004 Fort Worth Bowl,2004 Fort Worth Bowl
134,1,True,2002 GMAC Bowl,2002 GMAC Bowl
135,4,True,University of South Florida,University of South Florida
136,10,True,South Florida Bulls football,South Florida Bulls football
137,10,True,2009 Rose Bowl,Rose Bowl Game
138,1,True,Terrelle Pryor,Terrelle Pryor
139,3,True,Rose Bowl (stadium),"Pasadena, California"
140,1,True,Brandon Saine,Brandon Saine
141,5,True,Doc Holliday (American football),Doc Holliday (American football)
142,1,True,Geno Smith,Geno Smith
143,5,True,Doc Holliday (American football),Doc Holliday (American football)
144,1,True,Larry Fedora,Larry Fedora
145,1,True,Dominique Davis,Dominique Davis
146,1,True,Southern Airways Flight 932,Southern Airways Flight 932
147,1,True,Trevor Vittatoe,Trevor Vittatoe
148,3,True,notInKB,notInKB
148,3,True,2011 NFL Draft,2011 NFL Draft
149,1,True,CASCAR Super Series,CASCAR Super Series
150,10,True,The Sports Network,The Sports Network
151,10,True,The Sports Network,The Sports Network
152,1,True,Circuit Gilles Villeneuve,Circuit Gilles Villeneuve
153,10,True,Toronto,Toronto
154,1,True,Dave Whitlock,Dave Whitlock
155,1,True,Scott Steckly,Scott Steckly
156,2,True,Canadian Tire,Canadian Tire
157,10,True,Dodge,Dodge
158,7,True,Aaron's,"Aaron's, Inc."
159,1,True,Andrew Ranger,Andrew Ranger
160,10,True,Tide (brand),Tide (brand)
161,10,True,Walmart,Walmart
162,10,True,NASCAR,NASCAR
163,1,True,notInKB,notInKB
163,1,True,K&N Pro Series East,K&N Pro Series East
164,1,True,Delaware Speedway,Delaware Speedway
165,1,True,D. J. Kennington,D. J. Kennington
166,1,True,J. R. Fitzpatrick,J. R. Fitzpatrick
167,1,True,Kerry Micks,Kerry Micks
168,1,True,Scott Steckly,Scott Steckly
169,1,True,Autodrome Saint-Eustache,Autodrome Saint-Eustache
170,1,True,Motoplex Speedway,Motoplex Speedway
171,1,True,Scott Steckly,Scott Steckly
172,1,True,Auto Clearing Motor Speedway,Auto Clearing Motor Speedway
173,10,True,Circuit Trois-Rivières,Circuit Trois-Rivières
174,1,True,notInKB,notInKB
174,1,True,"Don Thomson, Jr.","Don Thomson, Jr."
175,1,True,notInKB,notInKB
175,1,True,Barrie Speedway,Barrie Speedway
176,1,True,notInKB,notInKB
176,1,True,Kawartha Speedway,Kawartha Speedway
177,1,True,Peter Shepherd (racing driver),Peter Shepherd (racing driver)
178,1,True,2011 Grand Prix motorcycle racing season,2011 Grand Prix motorcycle racing season
179,1,True,Marco Simoncelli,Marco Simoncelli
180,10,True,Sepang International Circuit,Sepang International Circuit
181,10,False,nic,2012 Grand Prix motorcycle racing season
182,1,True,Stefan Bradl,Stefan Bradl
183,1,True,Marc Márquez,Marc Márquez
