id,candidate_length,in_candidates,response,answer
0,1,True,FTSE 100 Index,FTSE 100 Index
1,10,True,China,China
2,3,True,FTSE 100 Index,FTSE 100 Index
3,10,True,United Kingdom,United Kingdom
4,1,True,FTSE 350 Index,FTSE 350 Index
5,1,True,Vedanta Resources,Vedanta Resources
6,5,True,ICAP (company),ICAP (company)
7,10,True,Norwich Union,Aviva
8,1,True,FTSE 100 Index,FTSE 100 Index
9,1,True,Weir Group,Weir Group
10,1,True,Petrofac,Petrofac
11,1,True,FTSE 100 Index,FTSE 100 Index
12,3,True,FTSE 100 Index,FTSE 100 Index
13,10,True,Germany,Germany
14,10,True,DAX,DAX
15,10,True,DAX,DAX
16,10,True,DAX,DAX
17,10,True,United States,United States
18,6,True,Dow Jones Industrial Average,Dow Jones Industrial Average
19,10,True,Europe,Europe
20,10,True,Dow Jones Industrial Average,Dow Jones Industrial Average
21,10,True,Dow Jones Industrial Average,Dow Jones Industrial Average
22,10,True,Contract for difference,Contract for difference
23,10,True,Contract for difference,Contract for difference
24,10,True,United Kingdom,United Kingdom
25,10,True,United Kingdom,United Kingdom
26,3,True,Capital Gains Tax,Capital gains tax
27,10,True,Head (company),Head
28,10,True,Greater London,London
29,10,True,Kingdom of England,England
30,10,True,Wales,Wales
31,2,True,Financial Services Authority,Financial Services Authority
32,1,True,Gambling Commission,Gambling Commission
33,10,True,Apple Inc.,Apple Inc.
34,10,True,Apple Inc.,Apple Inc.
35,10,True,iPod,IPod
36,9,True,iTunes,ITunes
37,4,True,Apple Inc.,Apple Inc.
38,10,True,United States,United States
39,10,True,IPhone,IPhone
40,4,True,Apple Inc,Apple Inc.
41,5,True,App Store (iOS),App Store (iOS)
42,4,True,Apple Inc,Apple Inc.
43,1,True,"Holden Beach, North Carolina","Holden Beach, North Carolina"
44,3,True,"Boyte, Connie - Coastal Developement and Realty","Brunswick County, North Carolina"
45,10,True,Robbie Brafford,"Sanford, North Carolina"
46,10,True,"Fayetteville, North Carolina","Fayetteville, North Carolina"
47,1,True,"Harnett County, North Carolina","Harnett County, North Carolina"
48,10,True,Durham,"Durham, North Carolina"
