id,candidate_length,in_candidates,response,answer
0,10,True,Jerusalem,Jerusalem
1,10,True,Agence France-Presse,Agence France-Presse
2,10,True,Iran,Iran
3,10,True,Moscow,Moscow
4,10,False,nic,Ministry of Defense and Armed Forces Logistics (Iran)
5,10,True,Beirut,Beirut
6,10,True,Agence France-Presse,Agence France-Presse
7,10,True,Lebanon,Lebanon
8,10,True,Israel,Israel
9,10,True,Beirut,Beirut
10,10,True,Agence France-Presse,Agence France-Presse
11,10,True,Lebanon,Lebanon
12,10,True,United Arab Emirates,United Arab Emirates
13,10,True,Mexico,Mexico
14,10,True,Bangkok,Bangkok
15,10,True,London,London
16,10,True,Agence France-Presse,Agence France-Presse
17,10,True,Baghdad,Baghdad
18,10,True,Riyadh,Riyadh
19,1,True,King Khalid International Airport,King Khalid International Airport
20,2,True,Bandar Seri Begawan,Bandar Seri Begawan
21,10,True,Agence France-Presse,Agence France-Presse
22,2,True,Florida,Florida
23,10,True,Brunei,Brunei
24,10,True,Gaza Strip,Gaza
25,10,True,Agence France-Presse,Agence France-Presse
26,10,True,Egypt,Egypt
27,0,False,nic,Netzarim (settlement)
28,2,True,Bandar Seri Begawan,Bandar Seri Begawan
29,10,True,Agence France-Presse,Agence France-Presse
30,3,True,Brunei,Brunei
31,10,True,Iran,Iran
32,10,True,Gaza Strip,Gaza
33,10,True,Agence France-Presse,Agence France-Presse
34,2,True,Zeist,Zeist
35,10,True,Netherlands,Holland
36,10,True,Agence France-Presse,Agence France-Presse
37,10,True,Soviet Union,Soviet Union
38,10,True,Sweden,Sweden
39,10,True,Amsterdam,Amsterdam
40,10,True,Copenhagen,Copenhagen
41,10,True,Stockholm,Stockholm
42,0,False,nic,Lamin Khalifah Fhimah
43,0,False,nic,Abdelbaset al-Megrahi
44,10,True,Malta,Malta
45,10,True,Baghdad,Baghdad
46,10,True,Agence France-Presse,Agence France-Presse
47,10,True,Iraq,Iraq
48,10,True,Lebanon,Lebanon
49,10,True,Agence France-Presse,Agence France-Presse
50,2,True,Palestinian National Council,Palestinian National Council
51,10,True,Algeria,Algeria
52,2,False,nic,"Tyre, Lebanon"
53,10,True,Beirut,Beirut
54,1,True,Muhammad al-Durrah incident,Muhammad al-Durrah incident
55,9,True,Sidon,Sidon
56,10,True,Lebanon,Lebanon
57,10,True,Jerusalem,Jerusalem
58,2,True,Bandar Seri Begawan,Bandar Seri Begawan
59,10,True,Agence France-Presse,Agence France-Presse
60,10,True,United States,United States
61,10,True,White House,White House
62,0,False,nic,Palestinian National Council
63,10,True,Jerusalem,Jerusalem
64,10,True,Agence France-Presse,Agence France-Presse
65,10,True,West Bank,West Bank
66,10,True,"Tallahassee, Florida","Tallahassee, Florida"
67,10,True,United States,United States
68,10,True,Agence France-Presse,Agence France-Presse
69,10,False,nic,Supreme Court of Florida
70,10,True,Florida,Florida
71,10,True,United States,United States
72,1,True,Madeleine Albright,Madeleine Albright
73,10,True,Yale University,Yale University
74,1,True,Rick Levin,Rick Levin
75,0,False,nic,Yale Center for the Study of Globalization
76,10,True,Middle East,Middle East
77,5,True,Time magazine,Time (magazine)
78,2,True,Bandar Seri Begawan,Bandar Seri Begawan
79,10,True,Agence France-Presse,Agence France-Presse
80,10,True,Russia,Russia
81,10,True,Brunei,Brunei
82,0,False,nic,Irkutsk
83,10,True,Cairo,Cairo
84,10,True,Egypt,Egypt
85,10,True,Associated Press,Associated Press
86,10,True,Syria,Syria
87,10,False,nic,President of Egypt
88,10,True,Iraq,Iraq
89,10,True,West Bank,West Bank
90,9,True,Gaza Strip,Gaza Strip
91,10,True,Jerusalem,Jerusalem
92,9,True,Time Warner,Time Warner
93,0,False,nic,State Street Corporation
94,10,True,Boston,Boston
95,1,True,Sanford Bernstein,Sanford Bernstein
96,10,True,The Walt Disney Company,The Walt Disney Company
97,4,True,Capital Cities/ABC,Capital Cities Communications
98,10,False,nic,Time Inc.
99,10,False,nic,Warner Communications
100,2,True,Roger McNamee,Roger McNamee
101,5,True,Bank of America Merrill Lynch,Merrill Lynch
102,10,True,NBC,NBC
103,10,True,"Washington, D.C.","Washington, D.C."
104,0,False,nic,Janus Capital Group
105,10,True,Comcast,Comcast
106,10,True,"Chattanooga, Tennessee","Chattanooga, Tennessee"
107,2,True,Tennessee,Tennessee
108,10,True,"Washington, D.C.","Washington, D.C."
109,10,True,Arkansas,Arkansas
110,10,True,White House,White House
111,10,True,Wisconsin,Wisconsin
112,10,True,Iowa,Iowa
113,10,True,Michigan,Michigan
