id,candidate_length,in_candidates,response,answer
0,2,True,American Civil Liberties Union,American Civil Liberties Union
1,2,True,American Civil Liberties Union,American Civil Liberties Union
2,2,True,American Civil Liberties Union,American Civil Liberties Union
3,1,True,Wu Ching-kuo,Wu Ching-kuo
4,2,True,WPVI-TV,Action News
5,3,True,Sheldon Adelson,Sheldon Adelson
6,1,True,Insurance Institute for Highway Safety,Insurance Institute for Highway Safety
7,3,True,Aeroflot,Aeroflot
8,4,True,Patient Protection and Affordable Care Act,Patient Protection and Affordable Care Act
9,3,True,Patient Protection and Affordable Care Act,Patient Protection and Affordable Care Act
10,2,False,nic,Al-Shabab
11,10,True,Mogadishu,Mogadishu
12,10,True,University of Alabama,University of Alabama
13,10,False,nic,United States Citizenship and Immigration Services
14,10,False,nic,United States Citizenship and Immigration Services
15,10,True,United States Army,United States Army
16,10,True,Amazon.com,Amazon.com
17,2,True,Jeff Bezos,Jeff Bezos
18,10,True,Amazon.com,Amazon.com
19,2,True,Jeff Bezos,Jeff Bezos
20,1,True,Ambassador Bridge,Ambassador Bridge
21,5,True,Amnesty International,Amnesty International
22,1,True,Andrea Hlaváčková,Andrea Hlaváčková
23,1,True,Bethanie Mattek-Sands,Bethanie Mattek-Sands
24,1,True,Angelique Kerber,Angelique Kerber
25,1,True,Tímea Babos,Tímea Babos
26,1,True,American Electric Power,American Electric Power
27,10,True,West Virginia,West Virginia
28,1,True,American Electric Power,American Electric Power
29,10,True,West Virginia,West Virginia
30,4,False,nic,Steve Jobs
31,10,True,October,October
32,10,True,Apple Inc.,Apple Inc.
33,3,True,Tim Cook,Tim Cook
34,10,True,Apple Inc.,Apple Inc.
35,10,True,Steve Jobs,Steve Jobs
36,10,True,Apple Inc.,Apple Inc.
37,10,True,Argentina national rugby union team,Argentina national football team
38,1,True,Agustín Pichot,Agustín Pichot
39,10,True,Arizona Cardinals,Arizona Cardinals
40,2,True,Larry Fitzgerald,Larry Fitzgerald
41,9,True,Martin Dempsey,Martin Dempsey
42,4,True,Joint Chiefs of Staff,Joint Chiefs of Staff
43,9,True,Martin Dempsey,Martin Dempsey
44,4,True,Joint Chiefs of Staff,Joint Chiefs of Staff
45,7,True,Martin E. Dempsey,Martin Dempsey
46,4,True,Joint Chiefs of Staff,Joint Chiefs of Staff
47,1,True,Arthur Caplan,Arthur Caplan
48,10,True,Associated Press,Associated Press
49,10,True,Associated Press,Associated Press
50,10,True,Associated Press,Associated Press
51,10,True,Associated Press,Associated Press
52,10,True,Associated Press,Associated Press
53,10,True,Associated Press,Associated Press
54,10,True,Associated Press,Associated Press
55,10,True,Associated Press,Associated Press
56,10,True,Associated Press,Associated Press
57,10,True,Associated Press,Associated Press
58,10,True,Associated Press,Associated Press
59,10,True,Atlanta,Atlanta
60,10,True,"Decatur, Georgia","Decatur, Georgia"
61,3,True,Bay Area Laboratory Co-operative,Bay Area Laboratory Co-operative
62,1,True,Victor Conte,Victor Conte
63,10,False,nic,BIMP-EAGA
64,10,True,BMC Racing Team,BMC Racing Team
65,1,True,Tejay van Garderen,Tejay van Garderen
66,1,True,Bafétimbi Gomis,Bafétimbi Gomis
67,10,True,France national football team,France national football team
68,2,True,Bob Baffert,Bob Baffert
69,10,True,Baltimore Orioles,Baltimore Orioles
70,1,True,Josh Beckett,Josh Beckett
71,10,True,Baltimore Orioles,Baltimore Orioles
72,1,True,Josh Beckett,Josh Beckett
73,10,True,Baltimore Orioles,Baltimore Orioles
74,1,True,Josh Beckett,Josh Beckett
75,10,False,nic,"Bangor, Iowa"
76,10,False,nic,"Bangor, Iowa"
77,10,True,Denver Art Museum,Denver
78,9,True,Barclays,Barclays
79,10,True,United Kingdom,Great Britain
80,9,True,Barclays,Barclays
81,8,True,San Francisco–Oakland Bay Bridge,San Francisco–Oakland Bay Bridge
82,10,False,nic,Marshall Thundering Herd football
83,10,True,Gatineau,Gatineau
84,1,True,Mohr Davidow Ventures,Mohr Davidow Ventures
85,9,False,nic,Bridgemont Community and Technical College
86,10,True,"Milton, Massachusetts","Milton, Massachusetts"
87,1,True,BlueScope Steel,BlueScope Steel
88,6,True,Richard Bernstein,Richard H. Bernstein
89,10,True,Port Authority of New York and New Jersey,Port authority
90,1,True,Bobby Valentine,Bobby Valentine
91,10,True,Yahoo,Yahoo!
92,1,True,Boeremag,Boeremag
93,1,True,Boingo Wireless,Boingo Wireless
94,10,True,Bologna,Bologna
95,10,True,Boston Red Sox,Boston Red Sox
96,1,True,Bobby Valentine,Bobby Valentine
97,10,True,Boston Red Sox,Boston Red Sox
98,1,True,Bobby Valentine,Bobby Valentine
99,10,True,Boston Red Sox,Boston Red Sox
100,10,True,Minnesota Twins,Minnesota Twins
101,10,True,Boston Red Sox,Boston Red Sox
102,1,True,Bobby Valentine,Bobby Valentine
103,10,True,Boston Red Sox,Boston Red Sox
104,1,True,Larry Lucchino,Larry Lucchino
105,10,True,Boston Red Sox,Boston Red Sox
106,1,True,Johnny Pesky,Johnny Pesky
107,10,False,nic,Pro Bowl
108,5,False,nic,Chad Johnson (cornerback)
109,10,False,nic,Pro Bowl
110,2,True,Larry Fitzgerald,Larry Fitzgerald
111,6,True,Brad Pitt,Brad Pitt
112,2,True,Jennifer Aniston,Jennifer Aniston
113,7,True,W. Bradford Wilcox,W. Bradford Wilcox
114,9,True,National Marriage Project,The National Marriage Project
115,8,True,UNESCO,UNESCO
116,1,True,West Virginia State University,West Virginia State University
