id,candidate_length,in_candidates,response,answer
0,1,True,Nouri al-Maliki,Nouri al-Maliki
1,10,True,Baghdad,Baghdad
2,10,True,Iraq,Iraq
3,10,True,Iraq,Iraq
4,5,True,NBC News,NBC News
5,10,True,Execution of Saddam Hussein,Saddam Hussein
6,10,True,Execution of Saddam Hussein,Saddam Hussein
7,1,True,Mowaffak al-Rubaie,Mowaffak al-Rubaie
8,9,True,Saddam Hussein,Saddam Hussein
9,4,True,Iraqi security forces,Iraqi Army
10,9,True,Saddam Hussein,Saddam Hussein
11,6,True,Al Jazeera,Al Jazeera
12,10,True,Internet,Internet
13,9,True,Saddam Hussein,Saddam Hussein
14,10,True,Associated Press,Associated Press
15,2,True,Nouri al-Maliki,Nouri al-Maliki
16,1,True,Nouri al-Maliki,Nouri al-Maliki
17,9,True,Saddam Hussein,Saddam Hussein
18,10,True,United States Armed Forces,United States Armed Forces
19,10,True,United States,United States
20,1,True,Mowaffak al-Rubaie,Mowaffak al-Rubaie
21,1,True,Mowaffak al-Rubaie,Mowaffak al-Rubaie
22,9,True,Saddam Hussein,Saddam Hussein
23,1,True,Associated Press,Associated Press
24,6,True,Al Jazeera,Al Jazeera
25,8,True,Web site,Website
26,9,True,Saddam Hussein,Saddam Hussein
27,10,True,The New York Times,The New York Times
28,10,True,Saddam Hussein,Saddam Hussein
29,1,True,Mowaffak al-Rubaie,Mowaffak al-Rubaie
30,4,True,Nouri al-Maliki,Nouri al-Maliki
31,10,True,The New York Times,The New York Times
32,1,True,Mowaffak al-Rubaie,Mowaffak al-Rubaie
33,10,True,Associated Press,Associated Press
34,5,True,Nouri al-Maliki,Nouri al-Maliki
35,10,True,Najaf,Najaf
36,9,True,Saddam Hussein,Saddam Hussein
37,1,True,Al Arabiya,Al Arabiya
38,7,True,MSNBC,MSNBC
39,9,True,Saddam Hussein,Saddam Hussein
40,2,True,Muqtada al-Sadr,Muqtada al-Sadr
41,2,True,Muqtada al-Sadr,Muqtada al-Sadr
42,2,True,Muqtada al-Sadr,Muqtada al-Sadr
43,1,True,Muqtada al-Sadr,Muqtada al-Sadr
44,2,True,Muqtada al-Sadr,Mahdi Army
45,7,True,Sunnis,Sunni Islam
46,2,True,Muqtada al-Sadr,Muqtada al-Sadr
47,9,True,Saddam Hussein,Saddam Hussein
