id,candidate_length,in_candidates,response,answer
0,1,True,FTSE 100 Index,FTSE 100 Index
1,9,True,China,China
2,2,True,FTSE 100 Index,FTSE 100 Index
3,10,True,notInKB,notInKB
4,1,True,notInKB,notInKB
5,1,True,Vedanta Resources,Vedanta Resources
6,5,True,notInKB,notInKB
7,8,True,Aviva,Aviva
8,1,True,FTSE 100 Index,FTSE 100 Index
9,1,True,Weir Group,Weir Group
10,1,True,Petrofac,Petrofac
11,1,True,FTSE 100 Index,FTSE 100 Index
12,2,True,FTSE 100 Index,FTSE 100 Index
13,7,True,Germany,Germany
14,9,True,DAX,DAX
15,9,True,DAX,DAX
16,9,True,DAX,DAX
17,8,True,United States,United States
18,5,True,Dow Jones Industrial Average,Dow Jones Industrial Average
19,7,True,Europe,Europe
20,8,True,Dow Jones Industrial Average,Dow Jones Industrial Average
21,8,True,Dow Jones Industrial Average,Dow Jones Industrial Average
22,10,True,Contract for difference,Contract for difference
23,10,True,Contract for difference,Contract for difference
24,10,True,notInKB,notInKB
25,10,True,notInKB,notInKB
26,1,True,Capital gains tax,Capital gains tax
27,10,True,notInKB,notInKB
28,8,True,London,London
29,9,True,England,England
30,9,True,Wales,Wales
31,2,True,notInKB,notInKB
32,1,True,Gambling Commission,Gambling Commission
33,8,True,Apple,Apple Inc.
34,8,True,Apple,Apple Inc.
35,10,True,notInKB,notInKB
36,6,True,ITunes Store,ITunes
37,2,True,Apple Inc.,Apple Inc.
38,8,True,United States,United States
39,6,True,Mobile phone,IPhone
40,2,True,Apple Inc.,Apple Inc.
41,5,True,notInKB,notInKB
42,2,True,Apple Inc.,Apple Inc.
43,1,True,"Holden Beach, North Carolina","Holden Beach, North Carolina"
44,2,True,"Brunswick County, North Carolina","Brunswick County, North Carolina"
45,9,True,"Sanford, North Carolina","Sanford, North Carolina"
46,9,True,"Fayetteville, North Carolina","Fayetteville, North Carolina"
47,1,True,"Harnett County, North Carolina","Harnett County, North Carolina"
48,9,True,"Durham, North Carolina","Durham, North Carolina"
49,10,True,"Chapel Hill, North Carolina","Chapel Hill, North Carolina"
50,9,True,"Hillsborough, North Carolina","Hillsborough County, Florida"
51,9,True,"Fayetteville, North Carolina","Fayetteville, North Carolina"
52,10,True,"Cumberland County, North Carolina","Cumberland County, North Carolina"
53,2,True,North Carolina,North Carolina
54,6,True,Food and Drug Administration,Food and Drug Administration
