id,candidate_length,in_candidates,response,answer
0,1,True,Brain tumor,Brain tumor
1,10,True,Thailand,Breast cancer
2,3,True,Cerebral hemorrhage,Bleeding
3,10,True,Bangkok,Bangkok
4,1,True,Radiosurgery,Radiosurgery
5,10,True,Thailand,Thailand
6,3,True,Cancer,Cancer
7,6,True,Tissue (biology),Tissue (biology)
8,6,True,Three-dimensional space,Three-dimensional space
9,1,True,Stereotactic surgery,Stereotactic surgery
10,10,True,Radiation therapy,Radiation
11,1,True,Linear particle accelerator,Linear particle accelerator
12,6,True,Consciousness,Consciousness
13,1,True,Congenital disorder,Congenital disorder
14,3,True,Coagulation,Coagulation
15,2,True,Capillary,Capillary
16,10,True,Malaysia,Malaysia
17,10,False,nic,Federation
18,10,False,nic,Federated State
19,6,True,Ministry (government department),Government agency
20,10,True,Economy,Economy
21,10,True,MALAYSIA,Implementation
22,10,True,Rural area,Rural area
23,10,True,Resource allocation,Resource allocation
24,10,True,Government ministries,Ministry (government department)
25,10,True,Poverty,Poverty
26,10,True,Minister (government),Minister (government)
27,4,True,Mussel,Mussel
28,1,True,Lukut,Lukut
29,2,True,Negeri Sembilan,Negeri Sembilan
30,1,True,Port Dickson,Port Dickson
31,10,True,research,Research
32,1,True,Mechai Viravaidya,Mechai Viravaidya
33,10,False,nic,SET Index
34,1,True,Business ethics,Business ethics
35,10,True,Alternative lifestyle,Lifestyle (sociology)
36,10,True,Senior management,Chief executive officer
37,10,True,Bank of Thailand,Bank
38,10,True,International finance,Finance
39,1,True,Bank of Thailand,Bank of Thailand
40,8,False,nic,List of national legal systems
41,3,True,Demographics of Thailand,Thai people
42,10,True,Lists of newspapers,Newspaper
43,6,True,Television station,Television channel
44,10,True,Russia,Russians
45,10,True,Russian mafia,Organized crime
46,1,True,Gazprom Neft,Gazprom Neft
47,6,True,Kemerovo,Kemerovo
48,10,True,Siberian Federal District,Siberia
49,10,True,Russia,Russia
50,10,True,Boris Berezovsky,Business magnate
51,3,True,Boris Berezovsky (businessman),Boris Berezovsky (businessman)
52,3,True,oil products,Oil
53,10,True,Coal mining,Coal
54,4,True,coal-mining,Coal mining
55,1,True,Contract killing,Contract killing
56,6,True,Organized crime,Mobsters
57,1,True,Leninsk-Kuznetsky (city),Leninsk-Kuznetsky (city)
58,10,True,Mayor of Leninsk-Kuznetsky,Mayor
59,7,True,tax fraud,Tax evasion
60,1,True,Embezzlement,Embezzlement
61,1,True,Gennady Konyakhin,Gennady Konyakhin
62,10,False,nic,Russian mafia
63,10,True,Criminal procedure,Trial
64,9,True,International trade in fine art,Art theft
65,10,True,Budapest,Budapest
66,1,True,Smuggling,Smuggling
67,8,True,Interpol,Interpol
68,2,True,Interpol,United Nations Police
69,4,True,Eastern Europe,Eastern Europe
70,10,True,France,France
71,10,True,Hungary,Hungarians
72,10,True,Communism,Communism
73,2,True,Hungarian forint,Hungarian forint
74,1,True,Database,Database
75,10,False,nic,Entrepreneurial network
76,1,True,Art dealer,Art dealer
77,1,True,Auction,Auction
78,10,True,Thailand,Thailand
79,10,True,Art auction,Auction
80,1,True,Financial institution,Financial institution
81,1,True,Thai baht,Thai baht
82,3,True,Financial Restructuring Authority,Liquidation
83,2,True,International Monetary Fund,International Monetary Fund
84,1,True,Economy of Thailand,Economy of Thailand
85,1,True,Bangkok Post,Bangkok Post
86,1,True,Chuan Leekpai,Chuan Leekpai
87,2,True,Christie's,Christie's
88,5,True,Queen Sirikit National Convention Center,Queen Sirikit National Convention Center
89,7,True,English defamation law,Defamation
90,8,True,Damages,Damages
91,1,True,Brooke Shields,Brooke Shields
92,10,True,Psychoactive drug,Drug
93,10,True,Cannes Film Festival,Cannes Film Festival
94,2,True,The Mail on Sunday,The Mail on Sunday
95,1,True,Nice Côte d'Azur Airport,Nice Côte d'Azur Airport
96,2,True,National Police (France),National Police (France)
97,1,True,DMG Media,DMG Media
98,7,True,Retraction,Retraction
99,10,True,Substance abuse,Substance abuse
100,10,True,Iran,Iran
101,9,True,Prisoner of war,Prisoner of war
102,6,False,nic,Cabinet of Iraq
103,1,True,National Iraqi News Agency,National Iraqi News Agency
104,1,True,Muhammad Saeed al-Sahhaf,Muhammad Saeed al-Sahhaf
105,1,True,Missing in action,Missing in action
106,3,True,Iran-Iraq War,Iran–Iraq War
107,3,True,International Committee of the Red Cross,International Committee of the Red Cross
108,10,True,Baghdad,Baghdad
109,10,True,Associated Press,Associated Press
110,10,True,Iraq,Iraq
111,10,True,Iran,Iran
112,8,True,Third Geneva Convention,Prisoner of war
113,10,True,Baghdad,Baghdad
114,10,True,delegation,Delegation
115,1,True,National Iraqi News Agency,National Iraqi News Agency
116,10,True,Tehran,Tehran
117,4,True,detainees,Detention (imprisonment)
118,10,True,Repatriation,Repatriation
119,3,True,International Committee of the Red Cross,International Committee of the Red Cross
120,2,True,Iran-Iraq War,Iran–Iraq War
121,10,True,Iraq,Iraq
122,10,True,Iran,Iran
123,8,True,Third Geneva Convention,Prisoner of war
124,10,True,Baghdad,Baghdad
125,1,True,National Iraqi News Agency,National Iraqi News Agency
126,10,True,Tehran,Tehran
127,10,True,Art repatriation,Repatriation
128,3,True,International Committee of the Red Cross,International Committee of the Red Cross
129,2,True,Iran-Iraq War,Iran–Iraq War
130,1,True,Air Afrique,Air Afrique
131,10,True,Boeing,Boeing
132,8,True,Murtala Muhammed International Airport,Murtala Muhammed International Airport
133,10,True,Lagos,Lagos
134,2,False,nic,The Guardian (Nigeria)
135,3,True,distress call,Distress signal
136,10,False,nic,Airport security
137,1,True,Cameroon Airlines,Cameroon Airlines
138,3,True,Airport apron,Tarmac
139,10,True,Nigeria,Nigeria
140,2,True,Nigeria,Violent crime
141,10,True,India,India
142,10,True,journalist,Journalist
143,4,True,brain cancer,Brain tumor
144,10,True,Politics (journal),Politics
145,5,False,nic,List of newspapers in India
146,1,True,Prasar Bharati,Prasar Bharati
147,10,True,Prasar Bharati,Corporation
148,1,True,University of Calcutta,University of Calcutta
149,10,True,"Merton College, Oxford","Merton College, Oxford"
150,10,True,Communist Party of India,Journalism
151,10,True,Communist Party of India,Communist Party of India
152,7,True,Indira Gandhi,Indira Gandhi
153,10,True,Government monopoly,Monopoly
154,10,True,Prime Minister of Vietnam,Prime minister
155,1,True,Phan Văn Khải,Phan Văn Khải
156,10,True,Electricity of Vietnam,Electricity
157,10,True,Red tape,Bureaucracy
158,10,True,Vietnam,Vietnam
159,1,True,Self-criticism,Self-criticism
160,10,False,nic,Tender
161,1,True,Project accounting,Project accounting
162,1,True,Lê Đức Anh,Lê Đức Anh
163,5,False,nic,Power outage
164,10,True,2011 East Africa drought,Drought
165,10,True,reservoir,Reservoir
166,6,True,Hydropower,Hydroelectricity
167,1,True,Rail transport in Germany,Rail transport in Germany
168,10,True,Airplane,Fixed-wing aircraft
169,10,True,German railway,Train
170,10,True,Germany,Germany
171,4,True,Lufthansa,Lufthansa
172,3,True,Airline hub,Airline hub
173,10,True,Frankfurt (Main) Hauptbahnhof,Frankfurt
174,10,True,Köln Hauptbahnhof,Cologne
175,1,True,Landing slot,Landing slot
176,3,True,Deutsche Bahn,Deutsche Bahn
177,10,True,Bonn,Bonn
178,4,True,Würzburg,Würzburg
179,10,True,United Airlines,United Airlines
180,10,True,Scandinavian Airlines,Scandinavian Airlines
181,10,True,Saddam Hussein,Saddam Hussein
182,10,True,United States,United States
183,10,True,Iraq,Iraq
184,2,True,Iran-Iraq war,Iran–Iraq War
185,7,True,United Nations,United Nations
186,10,True,Allies,Allies of World War II
187,3,True,Politics of Iran,Politics of Iran
188,3,True,Ruhollah Khomeini,Ruhollah Khomeini
189,10,True,United Nations Security Council Resolution 418,Embargo
190,10,True,Sanctions against Iraq,International sanctions
191,10,True,Kuwait,Kuwait
192,10,True,Artillery,Artillery
193,10,True,Baghdad,Baghdad
194,10,True,Patriots (faction),Patriotism
195,10,True,Tea,Tea
196,10,True,Toxin,Toxicity
197,9,True,Sodium compound,Sodium
198,5,True,Central nervous system,Central nervous system
199,10,True,Police,Police
200,3,True,Wood preservation,Wood preservation
201,10,True,Niigata,"Niigata, Niigata"
202,10,True,Greater Tokyo Area,Tokyo
203,5,True,Foodborne illness,Nausea
204,2,True,Paresthesia,Paresthesia
205,10,True,Japanese curry,Curry
206,10,True,Potassium cyanide,Cyanide
207,7,True,Arsenic,Arsenic
208,5,True,copycat crime,Copycat crime
209,1,True,Sodium azide,Sodium azide
210,1,True,Airbag,Airbag
